genes,mean_expr,median_expr,var_expr
ALB,858515.6722037653,13009.0,3026977928880.556
MT-CO1,369214.650055371,30066.0,562068824480.2261
HP,210969.63565891472,1675.0,234893470525.26553
MT-ND4,191090.0,12674.0,148752013516.7428
SERPINA1,169830.13953488372,6447.0,129058630175.97821
FGA,133451.4573643411,1378.0,98049811929.30388
MT-CO3,132979.1007751938,11998.0,99530886753.0263
MT-CYB,118137.0741971207,10282.0,55440927613.54111
FGB,115029.47729789591,4455.0,60830227139.30729
MT-CO2,114203.81838316722,10945.0,60920687606.50808
C3,104902.68217054264,899.0,48699478422.12172
MTRNR2L12,99635.98338870432,14382.0,66243894651.124954
FGG,95571.1650055371,3067.0,42539369297.3354
MT-ATP6,87642.8992248062,4244.0,39731636780.09294
TF,86812.05094130675,520.0,33809716818.36774
MT-ND2,82363.37098560354,3955.0,29471187880.337833
MT-ND5,79043.22369878183,3477.0,22773115449.306877
MT-ND1,78460.40642303434,3942.0,24653765737.665012
APOA1,78090.89700996678,2291.0,34526555000.232185
FN1,76483.40863787376,5207.0,55443613417.84042
EEF1A1,71105.86046511628,11198.0,13785653447.727743
APOB,67228.0,1043.0,25422953687.691795
AC010970.2,62569.11517165005,7769.0,55599771495.90036
FTL,60997.174972314504,16245.0,12156732851.217691
ORM1,59505.97009966777,1304.0,21503424399.685238
APOA2,58577.86046511628,5064.0,44441728108.494934
RBP4,53717.96788482835,807.0,16148417947.485783
AMBP,48835.651162790695,724.0,9241768803.834946
ALDOB,48234.183831672206,40.0,9533541266.542639
CYP2E1,44571.76522702104,30.0,8128541173.831817
APOH,44123.797342192694,626.0,6818293627.04867
VTN,41329.46068660022,920.0,5972642954.355148
ADH1B,39191.54595791805,10.0,6602248704.720482
A2M,36831.842746400886,166.0,7339293322.456421
HBG2,36697.573643410855,9.0,35852209461.28686
TTR,36209.56146179402,1148.0,11872714540.186638
APOC3,35694.82281284607,408.0,7124088865.210255
GC,34350.64451827243,345.0,4429740850.739344
APOE,33588.541528239206,510.0,4916858483.157629
MTRNR2L8,33385.79401993356,2476.0,33711439905.208088
SERPINA3,32943.29457364341,868.0,9945837454.6737
B2M,32055.79069767442,5245.0,5154870937.631309
AHSG,31495.80066445183,283.0,3978997041.66976
SEPP1,31273.8715393134,222.0,3843071077.655308
CLU,31185.56146179402,671.0,3352898032.787525
CRP,30279.863787375416,11.0,20409894804.7742
HPX,30060.89700996678,270.0,3828112181.4605765
ITIH4,30013.119601328905,19.0,4111124190.655276
CFB,28943.998892580286,596.0,3271470265.3913484
FTH1,27670.995570321153,8456.0,2354599324.6008706
CPS1,27335.217054263565,136.0,3601454900.613616
ACTB,27307.039867109634,8035.0,2355055322.286659
APOC1,27279.04651162791,362.0,3796792876.033307
MT-ND6,26505.825027685492,833.0,3136771159.204382
HRG,25093.404208194905,15.0,2571583004.6690335
C1S,24614.37430786268,449.0,2182346437.3187203
MT-ND3,24474.135105204874,641.0,3072481272.8331604
CYP3A4,23963.768549280176,3.0,3356152231.1847425
PLG,23114.042081949057,71.0,2054684679.5747335
GAPDH,22866.9634551495,7489.0,1890072989.7447824
MTRNR2L1,22855.285714285714,1795.0,4874136372.614495
TPT1,22437.07419712071,2416.0,1117225672.2239783
CP,22425.024363233664,191.0,2198487099.285442
SERPING1,21541.191583610187,496.0,1634666692.4787745
MT-ND4L,20983.959025470653,444.0,1835934207.5604014
COL1A1,20815.49833887043,40.0,15484487493.1128
C4A,20801.035437430786,47.0,2288961280.5464296
SERPINC1,20782.601328903653,143.0,1596530537.9628298
ADH4,20062.356589147286,26.0,1890939262.0434422
KNG1,19740.59468438538,70.0,1234537357.8288856
SAA1,18917.46068660022,242.0,9077710851.452745
C1R,18888.221483942416,301.0,1390949908.565079
CES1,18702.891472868218,10.0,1452616191.2121587
CFH,18658.197120708748,426.0,1212719030.8457968
ACTG1,17602.390919158363,4633.0,1934101787.5155296
APOC4-APOC2,17389.429678848282,277.0,1670274735.6311388
ITIH2,17140.12181616833,142.0,1085132264.3620825
AGT,16591.30454042082,258.0,1609907294.3495135
FGL1,16564.65227021041,475.0,1950332271.145037
TMBIM6,15873.157253599114,1845.0,608453961.8510753
RPL3,15868.66334440753,3385.0,5409342930.584992
ORM2,15431.840531561462,253.0,1041345345.1585722
AGXT,15425.125138427464,15.0,978617316.1406412
EEF2,14903.384274640088,332.0,803864263.0772247
ITIH1,14775.665559246954,23.0,844267897.5665193
SCD,14650.62569213732,819.0,1536415728.0393403
UGT2B7,14645.836101882613,41.0,20179696371.918148
TAT,14618.560354374307,8.0,964596142.0537198
UBC,14607.362126245847,3386.0,566339662.8099612
MAT1A,14480.658914728681,15.0,835410641.0520506
P4HB,14325.052048726468,1532.0,656176153.4862022
UGT2B4,13973.264673311185,98.0,10729973695.290388
C4B,13687.447397563677,35.0,1159887327.702056
HPD,13619.420819490588,19.0,1986847752.8559303
HMGCS2,13495.349944629015,21.0,682005262.8264024
MTATP6P1,13437.714285714286,653.0,870319073.013617
PCK1,13256.081949058693,8.0,1132456965.4633389
COL1A2,13207.699889258029,56.0,5788341276.802294
CYP2C9,13103.774086378737,8.0,657799685.4411409
ASS1,12919.70099667774,178.0,1199241517.438202
